date	level	depth
2011-05-22	-212	41
2011-05-23	-212	41
2011-05-24	-212	41
2011-05-25	-212	41
2011-05-26	-212	41
2011-05-27	-212	41
2011-05-28	-212	41
2011-05-29	-212	41
2011-05-30	-212	41
2011-05-31	-212	41
2011-06-01	-212	41
2011-06-02	-212	41
2011-06-03	-212	41
2011-06-04	-212	41
2011-06-05	-212	41
2011-06-06	-212	41
2011-06-07	-212	41
2011-06-08	-212	41
2011-06-09	-212	41
2011-06-10	-212	41
2011-06-11	-212	41
2011-06-12	-212	41
2011-06-13	-212	41
2011-06-14	-212	41
2011-06-15	-212	41
2011-06-16	-212	41
2011-06-17	-212	41
2011-06-18	-212	41
2011-06-19	-212	41
2011-06-20	-212	41
2011-06-21	-213	41
2011-06-22	-213	40
2011-06-23	-213	40
2011-06-24	-213	40
2011-06-25	-213	40
2011-06-26	-213	40
2011-06-27	-213	40
2011-06-28	-213	40
2011-06-29	-213	40
2011-06-30	-213	40
2011-07-01	-213	40
2011-07-02	-213	40
2011-07-03	-213	40
2011-07-04	-213	40
2011-07-05	-213	40
2011-07-06	-213	40
2011-07-07	-213	40
2011-07-08	-213	40
2011-07-09	-213	40
2011-07-10	-213	40
2011-07-11	-213	40
2011-07-12	-213	40
2011-07-13	-213	40
2011-07-14	-213	40
2011-07-15	-213	40
2011-07-16	-213	40
2011-07-17	-213	40
2011-07-18	-213	40
2011-07-19	-213	40
2011-07-20	-213	40
2011-07-21	-213	40
2011-07-22	-213	40
2011-07-23	-213	40
2011-07-24	-213	40
2011-07-25	-213	40
2011-07-26	-213	40
2011-07-27	-213	40
2011-07-28	-213	40
2011-07-29	-213	40
2011-07-30	-213	40
2011-07-31	-213	40
2011-08-01	-213	40
2011-08-02	-213	40
2011-08-03	-213	40
2011-08-04	-213	40
2011-08-05	-213	40
2011-08-06	-213	40
2011-08-07	-213	40
2011-08-08	-213	40
2011-08-09	-213	40
2011-08-10	-213	40
2011-08-11	-213	40
2011-08-12	-213	40
2011-08-13	-213	40
2011-08-14	-213	40
2011-08-15	-213	40
2011-08-16	-213	40
2011-08-17	-213	40
2011-08-18	-213	40
2011-08-19	-213	40
2011-08-20	-213	40
2011-08-21	-213	40
2011-08-22	-213	40
2011-08-23	-213	40
2011-08-24	-213	40
2011-08-25	-213	40
2011-08-26	-213	40
2011-08-27	-213	40
2011-08-28	-213	40
2011-08-29	-213	40
2011-08-30	-213	40
2011-08-31	-213	40
2011-09-01	-213	40
2011-09-02	-213	40
2011-09-03	-213	40
2011-09-04	-213	40
2011-09-05	-213	40
2011-09-06	-213	40
2011-09-07	-213	40
2011-09-08	-213	40
2011-09-09	-213	40
2011-09-10	-213	40
2011-09-11	-213	40
2011-09-12	-213	40
2011-09-13	-213	40
2011-09-14	-213	40
2011-09-15	-213	40
2011-09-16	-213	40
2011-09-17	-213	40
2011-09-18	-213	40
2011-09-19	-213	40
2011-09-20	-213	40
2011-09-21	-213	40
2011-09-22	-213	40
2011-09-23	-213	40
2011-09-24	-213	40
2011-09-25	-213	40
2011-09-26	-213	40
2011-09-27	-213	40
2011-09-28	-213	40
2011-09-29	-213	40
2011-09-30	-213	40
2011-10-01	-213	40
2011-10-02	-213	40
2011-10-03	-213	40
2011-10-04	-213	40
2011-10-05	-213	40
2011-10-06	-213	40
2011-10-07	-213	40
2011-10-08	-213	40
2011-10-09	-213	40
2011-10-10	-213	40
2011-10-11	-213	40
2011-10-12	-213	40
2011-10-13	-213	40
2011-10-14	-213	40
2011-10-15	-214	40
2011-10-16	-214	39
2011-10-17	-214	39
2011-10-18	-214	39
2011-10-19	-214	39
2011-10-20	-214	39
2011-10-21	-214	39
2011-10-22	-214	39
2011-10-23	-214	39
2011-10-24	-214	39
2011-10-25	-214	39
2011-10-26	-214	39
2011-10-27	-214	39
2011-10-28	-214	39
2011-10-29	-214	39
2011-10-30	-214	39
2011-10-31	-214	39
2011-11-01	-214	39
2011-11-02	-214	39
2011-11-03	-214	39
2011-11-04	-214	39
2011-11-05	-214	39
2011-11-06	-214	39
2011-11-07	-214	39
2011-11-08	-214	39
2011-11-09	-214	39
2011-11-10	-214	39
2011-11-11	-214	39
2011-11-12	-214	39
2011-11-13	-214	39
2011-11-14	-214	39
2011-11-15	-214	39
2011-11-16	-214	39
2011-11-17	-214	39
2011-11-18	-214	39
2011-11-19	-214	39
2011-11-20	-214	39
2011-11-21	-214	39
2011-11-22	-214	39
2011-11-23	-214	39
2011-11-24	-214	39
2011-11-25	-214	39
2011-11-26	-214	39
2011-11-27	-214	39
2011-11-28	-214	39
2011-11-29	-214	39
2011-11-30	-214	39
2011-12-01	-214	39
2011-12-02	-214	39
2011-12-03	-214	39
2011-12-04	-214	39
2011-12-05	-214	39
2011-12-06	-214	39
2011-12-07	-214	39
2011-12-08	-214	39
2011-12-09	-214	39
2011-12-10	-214	39
2011-12-11	-214	39
2011-12-12	-214	39
2011-12-13	-214	39
2011-12-14	-214	39
2011-12-15	-214	39
2011-12-16	-214	39
2011-12-17	-214	39
2011-12-18	-214	39
2011-12-19	-214	39
2011-12-20	-214	39
2011-12-21	-214	39
2011-12-22	-214	39
2011-12-23	-214	39
2011-12-24	-214	39
2011-12-25	-214	39
2011-12-26	-214	39
2011-12-27	-214	39
2011-12-28	-214	39
2011-12-29	-214	39
2011-12-30	-214	39
2011-12-31	-214	39
2012-01-01	-214	39
2012-01-02	-214	39
2012-01-03	-214	39
2012-01-04	-214	39
2012-01-05	-214	39
2012-01-06	-214	39
2012-01-07	-214	39
2012-01-08	-214	39
2012-01-09	-214	39
2012-01-10	-214	39
2012-01-11	-214	39
2012-01-12	-214	39
2012-01-13	-214	40
2012-01-14	-213	40
2012-01-15	-213	40
2012-01-16	-213	40
2012-01-17	-213	40
2012-01-18	-213	40
2012-01-19	-213	40
2012-01-20	-213	40
2012-01-21	-213	40
2012-01-22	-213	40
2012-01-23	-213	40
2012-01-24	-213	40
2012-01-25	-213	40
2012-01-26	-213	40
2012-01-27	-213	40
2012-01-28	-213	40
2012-01-29	-213	40
2012-01-30	-213	40
2012-01-31	-213	40
2012-02-01	-213	40
2012-02-02	-213	40
2012-02-03	-213	40
2012-02-04	-213	40
2012-02-05	-213	40
2012-02-06	-213	40
2012-02-07	-213	40
2012-02-08	-213	40
2012-02-09	-213	40
2012-02-10	-213	40
2012-02-11	-213	40
2012-02-12	-213	40
2012-02-13	-213	40
2012-02-14	-213	40
2012-02-15	-213	40
2012-02-16	-213	40
2012-02-17	-213	40
2012-02-18	-213	40
2012-02-19	-213	40
2012-02-20	-213	40
2012-02-21	-213	40
2012-02-22	-213	40
2012-02-23	-213	40
2012-02-24	-213	40
2012-02-25	-213	41
2012-02-26	-212	41
2012-02-27	-212	41
2012-02-28	-212	41
2012-02-29	-212	41
2012-03-01	-212	41
2012-03-02	-212	41
2012-03-03	-212	41
2012-03-04	-212	41
2012-03-05	-212	41
2012-03-06	-212	41
2012-03-07	-212	41
2012-03-08	-212	41
2012-03-09	-212	41
2012-03-10	-212	41
2012-03-11	-212	41
2012-03-12	-212	41
2012-03-13	-212	41
2012-03-14	-212	41
2012-03-15	-212	41
2012-03-16	-212	41
2012-03-17	-212	41
2012-03-18	-212	41
2012-03-19	-212	41
2012-03-20	-212	41
2012-03-21	-212	41
2012-03-22	-212	41
2012-03-23	-212	41
2012-03-24	-212	41
2012-03-25	-212	41
2012-03-26	-212	41
2012-03-27	-212	41
2012-03-28	-212	41
2012-03-29	-212	41
2012-03-30	-212	41
2012-03-31	-212	41
2012-04-01	-212	41
2012-04-02	-212	41
2012-04-03	-212	41
2012-04-04	-212	41
2012-04-05	-211	42
2012-04-06	-211	42
2012-04-07	-211	42
2012-04-08	-211	42
2012-04-09	-211	42
2012-04-10	-211	42
2012-04-11	-211	42
2012-04-12	-211	42
2012-04-13	-211	42
2012-04-14	-211	42
2012-04-15	-211	42
2012-04-16	-211	42
2012-04-17	-211	42
2012-04-18	-211	42
2012-04-19	-211	42
2012-04-20	-211	42
2012-04-21	-211	42
2012-04-22	-211	42
2012-04-23	-211	42
2012-04-24	-211	42
2012-04-25	-211	42
2012-04-26	-211	42
2012-04-27	-211	42
2012-04-28	-211	42
2012-04-29	-211	42
2012-04-30	-211	42
2012-05-01	-211	42
2012-05-02	-211	42
2012-05-03	-211	42
2012-05-04	-211	42
2012-05-05	-211	42
2012-05-06	-211	42
2012-05-07	-211	42
2012-05-08	-211	42
2012-05-09	-211	42
2012-05-10	-211	42
2012-05-11	-211	42
2012-05-12	-211	42
2012-05-13	-211	42
2012-05-14	-211	42
2012-05-15	-211	42
2012-05-16	-211	42
2012-05-17	-211	42
2012-05-18	-211	42
2012-05-19	-211	42
2012-05-20	-211	42
2012-05-21	-211	42
2012-05-22	-211	42
2012-05-23	-211	42
2012-05-24	-211	42
2012-05-25	-211	42
2012-05-26	-211	42
2012-05-27	-211	42
2012-05-28	-211	42
2012-05-29	-211	42
2012-05-30	-211	42
2012-05-31	-211	42
2012-06-01	-211	42
2012-06-02	-211	42
2012-06-03	-211	42
2012-06-04	-211	42
2012-06-05	-211	42
2012-06-06	-211	42
2012-06-07	-211	42
2012-06-08	-211	42
2012-06-09	-211	42
2012-06-10	-211	42
2012-06-11	-211	42
