Date	Time	Depth	Temp
2011-02-13	10:00	26	16.2
2011-02-13	10:00	27	16.2
2011-02-13	10:00	28	16.2
2011-02-13	10:00	29	16.2
2011-02-13	10:00	30	16.2
2011-02-13	10:00	31	16.2
2011-02-13	10:00	32	16.2
2011-02-13	10:00	33	16.2
2011-02-13	10:00	34	16.2
2011-02-13	10:00	35	16.2
2011-02-13	10:00	36	16.2
2011-02-13	10:00	37	16.1
2011-02-21	09:30	0	15.9
2011-02-21	09:30	1	15.9
2011-02-21	09:30	2	15.9
2011-02-21	09:30	3	15.9
2011-02-21	09:30	4	15.9
2011-02-21	09:30	5	15.9
2011-02-21	09:30	6	15.9
2011-02-21	09:30	7	15.9
2011-02-21	09:30	8	15.9
2011-02-21	09:30	9	15.9
2011-02-21	09:30	10	15.9
2011-02-21	09:30	11	15.6
2011-02-21	09:30	12	15.7
2011-02-21	09:30	13	15.7
2011-02-21	09:30	14	15.6
2011-02-21	09:30	15	15.6
2011-02-21	09:30	16	15.6
2011-02-21	09:30	17	15.6
2011-02-21	09:30	18	15.6
2011-02-21	09:30	19	15.6
2011-02-21	09:30	20	15.6
2011-02-21	09:30	21	15.6
2011-02-21	09:30	22	15.6
2011-02-21	09:30	23	15.6
2011-02-21	09:30	24	15.6
2011-02-21	09:30	25	15.6
2011-02-21	09:30	26	15.6
2011-02-21	09:30	27	15.6
2011-02-21	09:30	28	15.6
2011-02-21	09:30	29	15.6
2011-02-21	09:30	30	15.6
2011-02-21	09:30	31	15.6
2011-02-21	09:30	32	15.6
2011-02-21	09:30	33	15.5
2011-02-21	09:30	34	15.5
2011-02-21	09:30	35	15.5
2011-02-27	10:00	0	16.8
2011-02-27	10:00	1	16.8
2011-02-27	10:00	2	16.7
2011-02-27	10:00	3	16.7
2011-02-27	10:00	4	16.7
2011-02-27	10:00	5	16.7
2011-02-27	10:00	6	16.7
2011-02-27	10:00	7	16.7
2011-02-27	10:00	8	16.6
2011-02-27	10:00	9	16.6
2011-02-27	10:00	10	16.5
2011-02-27	10:00	11	16.5
2011-02-27	10:00	12	16.5
2011-02-27	10:00	13	16.5
2011-02-27	10:00	14	16.4
2011-02-27	10:00	15	16.4
2011-02-27	10:00	16	16.4
2011-02-27	10:00	17	16.4
2011-02-27	10:00	18	16.4
2011-02-27	10:00	19	16.4
2011-02-27	10:00	20	16.4
2011-02-27	10:00	21	16.4
2011-02-27	10:00	22	16.4
2011-02-27	10:00	23	16.4
2011-02-27	10:00	24	16.4
2011-02-27	10:00	25	16.4
2011-02-27	10:00	26	16.4
2011-02-27	10:00	27	16.4
2011-02-27	10:00	28	16.4
2011-02-27	10:00	29	16.4
2011-02-27	10:00	30	16.4
2011-02-27	10:00	31	16.4
2011-02-27	10:00	32	16.4
2011-02-27	10:00	33	16.4
2011-02-27	10:00	34	16.4
2011-02-27	10:00	35	16.3
2011-02-27	10:00	36	16.3
2011-02-27	10:00	37	16.3
2011-03-06	09:30	0	17.3
2011-03-06	09:30	1	17.3
2011-03-06	09:30	2	17.2
2011-03-06	09:30	3	17.2
2011-03-06	09:30	4	17.1
2011-03-06	09:30	5	17.1
2011-03-06	09:30	6	17.1
2011-03-06	09:30	7	16.7
2011-03-06	09:30	8	16.3
2011-03-06	09:30	9	16.1
2011-03-06	09:30	10	16.1
2011-03-06	09:30	11	15.7
2011-03-06	09:30	12	15.8
2011-03-06	09:30	13	15.7
2011-03-06	09:30	14	15.8
2011-03-06	09:30	15	15.7
2011-03-06	09:30	16	15.7
2011-03-06	09:30	17	15.6
2011-03-06	09:30	18	15.6
2011-03-06	09:30	19	15.5
2011-03-06	09:30	20	15.5
2011-03-06	09:30	21	15.6
2011-03-06	09:30	22	15.5
2011-03-06	09:30	23	15.6
2011-03-06	09:30	24	15.5
2011-03-06	09:30	25	15.5
2011-03-06	09:30	26	15.4
